,dependency,repo,dependencyType,monthsFromAbandonmentToRemoval,depAbandonedAt,abandonmentTypeBinary,statusEver,repoAgeAtAbandonment,totalNumDependencies,numNormalDeps,numDevDeps,totalDependencyChurn,repoSize,numCommits,numMaintainers,numCorporateCommits,useDepManagementTools,hasCoC,hasContributing,hasLicense,hasIssueTemplate,hasPRTemplate,hasREADME,numREADMEHeaders,avgTechnicalLagDays,medianTechnicalLagDays,hasTechnicalLag,numIssuesOpened,numIssuesClosed,latestCommit,numStarsCurrent
782,tachyons-sass,0m15/mysite,dependency,NA,12/1/18,activity-based,0,4,34,29,5,95,11644,63,1,0,0,0,0,1,0,0,1,3,0.696969697,0,1,0,0,1/1/20,0
141,@types/node,0xColm/portfolio,dependency,NA,1/1/17,activity-based,0,9,12,12,0,12,42512,3,1,0,0,0,0,0,0,0,1,7,-2,-2,-2,0,0,7/1/22,0
898,uglifyjs-webpack-plugin,1149308443/react,devDependency,0,12/1/19,explicit-notice,1,5,48,12,36,82,196,11,2,0,0,0,0,0,0,0,1,3,15.17021277,0,1,0,0,7/1/21,0
192,shortid,174n/OpenTabletop,dependency,NA,7/1/20,explicit-notice,0,34,31,12,19,0,1636,0,0,0,0,0,0,0,0,0,1,8,433.2666667,227.5,1,0,0,10/1/21,11
287,sw-toolbox,2015lym/tool,dependency,NA,4/1/19,explicit-notice,0,17,30,27,3,1,2520,2,1,0,0,0,0,1,0,0,1,3,403.0344828,503,1,0,0,5/1/19,0
40,gulp-htmlclean,23Pstars/zaf-web,dependency,NA,12/1/18,activity-based,0,19,9,9,0,1,420,6,1,0,0,0,0,0,0,0,0,-1,398.7142857,206,1,0,0,9/1/21,0
558,react-navigation-drawer,2segundo/projetoexpo1,dependency,11,2/1/20,explicit-notice,1,2,13,12,1,13,544,8,1,0,0,0,0,0,0,0,0,-1,94.63636364,49,1,0,0,4/1/22,0
619,request,45gfg9/spx,dependency,NA,2/1/20,explicit-notice,0,13,20,9,11,55,672,187,1,0,1,0,0,1,0,0,1,3,4.368421053,0,1,0,0,11/1/21,0
502,vue-resource,51ljgj-com/house_quick_repair,dependency,NA,1/1/19,activity-based,0,6,65,7,58,65,5888,66,2,0,0,0,0,0,0,0,1,8,125.2222222,29,1,0,0,7/1/19,2
72,react-key-handler,5l1v3r1/pwl,dependency,4,11/1/18,activity-based,1,2,42,26,16,134,1912,155,2,0,1,0,1,1,0,0,1,4,0,0,0,0,0,7/1/20,0
446,isomorphic-fetch,8base/graphql-ide,dependency,NA,12/1/17,activity-based,0,13,52,30,22,152,3892,43,1,0,0,0,1,1,0,0,1,7,85.2745098,0,1,0,0,9/1/18,2
915,circular-json,a0r1an/rarostudios,dependency,NA,10/1/19,explicit-notice,0,4,41,30,11,56,1364,31,2,0,0,0,0,0,0,0,0,-1,5.128205128,0,1,0,0,1/1/20,0
774,svg-captcha,a563905150/albumStore,dependency,NA,6/1/18,activity-based,0,2,52,17,35,52,6496,30,1,0,0,0,0,0,0,0,1,6,34.92156863,0,1,0,0,3/1/20,1
808,react-apollo-hooks,aacc1110/as-front,dependency,NA,8/1/19,explicit-notice,0,2,114,75,39,129,1340,25,1,0,0,0,0,0,0,0,1,6,52.8627451,0,1,0,0,10/1/19,0
907,json-loader,aarkerio/schnellentest,dependency,20,8/1/18,explicit-notice,1,24,84,49,35,0,17732,62,1,0,1,0,0,0,0,0,1,1,346.3,275,1,0,0,6/1/20,7
462,mobx-react-devtools,adamgruber/mochawesome-report-generator,devDependency,NA,5/1/19,explicit-notice,0,34,78,11,67,1,2080,8,2,0,0,0,1,1,0,0,1,13,146.8026316,0,1,14,3,9/1/22,223
543,memory-cache,adamrumbold/me-api,dependency,NA,7/1/17,activity-based,0,26,9,9,0,0,176,1,1,0,0,0,0,0,0,0,1,0,430.125,540,1,0,0,3/1/18,0
67,express-jwt,adrimrutra/Loc8r,dependency,NA,1/1/18,activity-based,0,15,16,16,0,0,2956,0,0,0,0,0,0,0,0,0,0,-1,292.7142857,256,1,0,0,7/1/19,0
65,express-jwt,aenkya/erad-api,dependency,NA,1/1/18,activity-based,0,15,22,21,1,208,592,24,1,0,0,0,0,0,0,0,0,-1,229.3333333,0,1,0,0,7/1/19,1
661,request,afropolymath/webfiles,dependency,33,2/1/20,explicit-notice,1,37,72,10,62,0,368,0,0,0,0,0,0,0,0,0,1,8,571.7746479,670,1,0,0,11/1/22,0
882,extract-text-webpack-plugin,agodianel/chattingroom,devDependency,NA,5/1/19,explicit-notice,0,32,32,16,16,0,160,0,0,0,0,0,0,0,0,0,1,5,423,480,1,0,0,12/1/20,0
625,request,Agur112/nordpool,dependency,NA,2/1/20,explicit-notice,0,31,6,6,0,0,36,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,10/1/22,0
341,hide-powered-by,ahmadherdiansyah/iot-sever,dependency,NA,6/1/20,explicit-notice,0,21,19,19,0,8,9488,3,2,0,1,0,0,1,0,0,1,3,230.5,0,1,0,0,8/1/21,1
853,eslint-loader,aidenfly/dd-editor,dependency,0,9/1/20,explicit-notice,1,2,62,47,13,65,740,18,2,0,0,0,0,0,0,0,1,1,162.4237288,145,1,0,0,8/1/21,15
430,google-id-token-verifier,aigan/auto-login-pwa,dependency,NA,1/1/17,activity-based,0,6,10,7,3,10,100,28,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,5/1/18,1
835,eslint-loader,Airfald/airfald-service-frontend,dependency,NA,9/1/20,explicit-notice,0,6,79,76,3,83,1856,33,1,0,0,0,1,0,0,0,1,11,155.1842105,121,1,0,0,11/1/20,0
506,tslint,ajaymarathe/ng-supine-ui-kit,devDependency,1,1/1/20,explicit-notice,1,2,38,17,19,38,10100,20,1,0,0,0,0,1,0,0,1,1,324.3888889,399,1,0,0,2/1/20,2
569,react-navigation-stack,ajordan226/AntGroveApp,dependency,NA,2/1/20,explicit-notice,0,1,23,15,8,23,1096,2,1,0,0,0,0,0,0,0,1,1,44.95,0,1,0,0,3/1/20,0
799,co,akashacms/mahabhuta,dependency,19,1/1/17,activity-based,1,23,4,4,0,2,492,35,1,0,0,0,0,1,0,0,1,3,0,0,0,1,0,7/1/22,0
237,ethereumjs-util,AKASHAorg/jsonschema-web3,dependency,NA,2/1/20,explicit-notice,0,20,18,4,14,20,316,4,1,0,0,0,0,1,0,0,1,1,255.0588235,279,1,0,0,4/1/20,2
467,postcss-cssnext,alakajam-team/alakajam,dependency,13,5/1/18,explicit-notice,1,16,53,48,5,79,5072,1000,3,0,0,0,0,1,0,0,1,7,75.52941176,0,1,52,37,11/1/22,28
222,gatsby-plugin-prefetch-google-fonts,albatrocity/shelby-keierleber,dependency,0,11/1/20,explicit-notice,1,1,31,19,12,31,1020,4,1,0,0,0,0,1,0,0,1,14,26.83333333,0,1,0,0,1/1/23,0
461,mobx-react-devtools,alexdevero/react-mobx-react-router-boilerplate,dependency,NA,5/1/19,explicit-notice,0,22,41,12,29,92,1248,34,1,0,1,1,0,1,0,0,1,13,20.7,0,1,5,0,1/1/23,51
56,atom-space-pen-views,alexisaperez/git-controlhub,dependency,NA,1/1/17,activity-based,0,10,3,3,0,225,13320,14,2,0,0,0,1,1,0,0,1,4,458.5,458.5,1,2,1,7/1/17,1
377,core-decorators,alfa-laboratory/arui-demo,dependency,1,12/1/19,explicit-notice,1,20,24,8,13,91,1352,41,2,0,0,0,0,1,0,0,1,1,328.7826087,302,1,0,0,12/1/20,4
247,react-native,alinz/react-native-webview-bridge,dependency,11,1/1/17,activity-based,1,19,4,4,0,3,1032,96,6,0,0,0,0,1,0,0,1,16,181.5,181.5,1,80,26,1/1/20,1363
343,gulp-server-livereload,allan-simon/sentence-aligner-front,dependency,NA,9/1/17,activity-based,0,1,55,55,0,55,444,11,1,0,0,0,0,1,0,0,1,2,50.7962963,0,1,0,0,12/1/17,0
43,cordova-plugin-compat,AlliedPayment/sample-sso-cordova,dependency,NA,4/1/19,explicit-notice,0,30,4,4,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,271,350,1,0,0,10/1/19,1
159,@discordjs/uws,allpaqa-jgk/twitch_text_to_speech_bot,dependency,NA,8/1/19,explicit-notice,0,1,24,13,11,39,304,84,1,0,0,0,0,1,0,0,1,22,26.34782609,0,1,0,0,12/1/21,6
89,next-redux-saga,almond-bongbong/azeet_client,dependency,NA,9/1/20,explicit-notice,0,15,44,27,17,0,2232,3,1,0,0,0,0,0,0,0,1,17,139.5263158,0,1,0,0,12/1/23,0
371,whacko,alxlu/noin,dependency,NA,5/1/16,explicit-notice,0,15,8,4,4,4,76,7,1,0,0,0,0,0,0,0,1,4,65.42857143,0,1,0,0,6/1/16,10
691,request,ambulancexm/projetIOT,dependency,NA,2/1/20,explicit-notice,0,7,15,12,3,208,4640,23,2,0,0,0,0,0,0,0,0,-1,15.64285714,0,1,0,0,9/1/20,0
777,stylelint-rule-tester,amcintyre-cs/stylelint-selector-qualifying-element,devDependency,NA,4/1/16,explicit-notice,0,1,4,2,2,4,40,13,1,0,0,0,0,1,0,0,1,5,0,0,0,0,0,6/1/16,0
428,babel-plugin-transform-decorators-legacy,amenzai/react-app,dependency,NA,9/1/18,activity-based,0,6,51,51,0,51,396,6,2,0,0,0,0,0,0,0,1,0,204.98,276.5,1,0,0,1/1/19,0
272,babel-plugin-react-transform,Andreamsofcake/react-store-gui,dependency,NA,4/1/16,explicit-notice,0,1,25,25,0,25,26640,132,2,0,0,0,1,1,0,0,1,3,1.857142857,0,1,0,0,5/1/18,0
747,rollup-plugin-node-resolve,andrelmlins/svelte-fullscreen,devDependency,NA,12/1/19,explicit-notice,0,1,10,2,8,18,144,19,1,0,0,0,0,1,0,0,1,8,0,0,1,0,0,7/1/22,61
30,angular-google-maps,andrew-d-taylor/drone,dependency,NA,11/1/18,explicit-notice,0,37,13,13,0,0,1456,0,0,0,0,0,0,0,0,0,1,1,181.25,0,1,0,0,4/1/19,0
357,jest-environment-jsdom-fourteen,andrewc2020/students_frontend,dependency,NA,11/1/20,explicit-notice,0,12,61,61,0,64,916,24,1,0,1,0,0,0,0,0,1,12,358.5,393.5,1,0,0,1/1/22,0
