npmPackageName,slug,repoArchived,READMEKeyword,READMEBadge,activityBasedAbandoned,maxNumDownloads,isAbandoned,numStars
gitbook-plugin-search-jieba,007pig/plugin-jieba,0,0,0,0,20807,0,4
path-format,00Davo/path-format,0,0,0,0,12955,0,0
yurnalist,0x80/yurnalist,0,0,0,0,1773192,0,90
@0x/mesh-rpc-client,0xProject/0x-mesh,0,0,0,0,13243,0,258
graphql-transform-federation,0xR/graphql-transform-federation,0,0,0,0,29640,0,220
1-liners,1-liners/1-liners,0,0,0,0,29481,0,789
grunt-image,1000ch/grunt-image,0,0,0,0,15422,0,203
gulp-image,1000ch/gulp-image,0,0,0,0,20099,0,222
simplehttp2server,1000ch/simplehttp2server,0,0,0,0,15582,0,19
bootstrap-validator,1000hz/bootstrap-validator,1,0,0,1,44387,1,2382
fflate,101arrowz/fflate,0,0,0,0,522596,0,2013
ember-cli-matomo-tag-manager,1024pix/ember-cli-matomo-tag-manager,0,0,0,0,10708,0,1
@10up/stylelint-config,10up/10up-toolkit,0,0,0,0,17741,0,93
@10up/babel-preset-default,10up/babel-preset-default,1,1,0,0,14694,0,3
@10up/eslint-config,10up/eslint-config,1,1,0,0,18830,0,16
locale-emoji,10xjs/locale-emoji,0,0,0,1,173269,1,17
@11ty/eleventy,11ty/eleventy,0,0,0,0,162318,0,16037
@11ty/eleventy-plugin-rss,11ty/eleventy-plugin-rss,0,0,0,0,20405,0,82
@11ty/eleventy-plugin-syntaxhighlight,11ty/eleventy-plugin-syntaxhighlight,0,0,0,0,27703,0,122
nyks,131/nyks,0,0,0,0,16040,0,6
webpack-shell-plugin,1337programming/webpack-shell-plugin,0,0,0,1,924982,1,264
jugglingdb,1602/jugglingdb,0,0,0,0,28519,0,2050
@18f/us-federal-holidays,18F/us-federal-holidays,0,0,0,0,23638,0,47
dom-to-image-more,1904labs/dom-to-image-more,0,0,0,0,13385,0,415
topological-sort,1999/topological-sort,0,0,0,0,72816,0,18
eslint-config-airbnb-es5,1hella/eslint-config-airbnb-es5,0,0,0,1,47849,1,28
react-script,1j01/react-script,0,0,0,0,13838,0,5
html-element,1N50MN14/html-element,0,0,0,1,152687,1,51
relay-mock-network-layer,1stdibs/relay-mock-network-layer,0,0,0,0,10661,0,36
resumablejs,23/resumable.js,0,0,0,0,93299,0,4604
react-native-step-indicator,24ark/react-native-step-indicator,0,0,0,0,23515,0,1392
spected,25th-floor/spected,0,0,0,0,10123,0,704
28,28msec/28,0,0,0,1,14777,1,10
postcss-sprites,2createstudio/postcss-sprites,0,0,0,1,40436,1,412
